0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:56:46 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3442
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:56:46 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:56:46 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:56:46 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:56:46 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:56:46 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:57:21 +0530] "GET /consume-rest/Images/marker.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/category.jsp HTTP/1.1" 200 4740
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/Electronics.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/pen.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/Books.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/ballpen.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/Shoes.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/mobile.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:59:31 +0530] "GET /consume-rest/Images/camera.jpg HTTP/1.1" 404 790
